dmu_id,variety,area_TOTAL,productivity_weighted,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,covered_area,area_tonne,n_density,p_density,k_density,so4_density,n_kg_ha_weight,p_kg_ha_weight,k_kg_ha_weight,so4_kg_ha_weight,n_kg_t,p_kg_t,k_kg_t,so4_kg_t,year,month,day
C7_2023,All,37.33,6.65,fertilisation,topdressing,centrifugal_spreader,Nergetic 30,200.0,kg/ha,7.33,0.03,60.0,0.0,0.0,0.0,11.78,0.0,0.0,0.0,9.02,0.0,0.0,0.0,"2,023.00",5.0,2.0
C7_2023,All,37.33,6.65,fertilisation,topdressing,centrifugal_spreader,Urea 46%,150.0,kg/ha,30.0,0.12,69.0,0.0,0.0,0.0,55.45,0.0,0.0,0.0,10.37,0.0,0.0,0.0,"2,023.00",5.0,2.0
C7_2023,All,37.33,6.65,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,37.33,0.15,45.0,45.0,45.0,0.0,45.0,45.0,45.0,0.0,6.76,6.76,6.76,0.0,"2,023.00",6.0,6.0
C7_2024,All,37.33,4.99,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,26.0,0.14,45.0,45.0,45.0,0.0,31.34,31.34,31.34,0.0,9.02,9.02,9.02,0.0,"2,024.00",8.0,6.0
C7_2024,All,37.33,4.99,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,26.0,0.14,45.0,45.0,45.0,0.0,31.34,31.34,31.34,0.0,9.02,9.02,9.02,0.0,"2,024.00",8.0,6.0
C7_2024,All,37.33,4.99,fertilisation,basal_fertilisation,centrifugal_spreader,20-08-10,370.0,kg/ha,11.35,0.06,74.0,29.6,37.0,0.0,22.5,9.0,11.25,0.0,14.83,5.93,7.41,0.0,"2,024.00",8.0,6.0
C7_2024,All,37.33,4.99,fertilisation,topdressing,centrifugal_spreader,Urea 46%,120.0,kg/ha,37.35,0.2,55.2,0.0,0.0,0.0,55.23,0.0,0.0,0.0,11.06,0.0,0.0,0.0,"2,024.00",8.0,20.0
C8_2022,All,58.32,5.56,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,250.0,kg/ha,58.32,0.18,50.0,25.0,0.0,0.0,50.0,25.0,0.0,0.0,8.99,4.5,0.0,0.0,"2,022.00",5.0,15.0
C8_2022,All,58.32,5.56,fertilisation,topdressing,centrifugal_spreader,Urea 46%,150.0,kg/ha,58.32,0.18,69.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,12.41,0.0,0.0,0.0,"2,022.00",7.0,10.0
C8_2022,Gládio,58.32,5.56,fertilisation,topdressing,centrifugal_spreader,Ammonium sulfate 21%,100.0,kg/ha,12.5,0.04,21,0.0,0.0,21.0,4.5010288066,0.0,0.0,4.5,0.8095375551,0.0,0.0,3.78,"2,022.00",7.0,14.0
C8_2023,All,58.34,5.73,fertilisation,topdressing,centrifugal_spreader,Urea 46%,70.0,kg/ha,58.04,0.17,32.2,0.0,0.0,0.0,32.03,0.0,0.0,0.0,5.62,0.0,0.0,0.0,"2,023.00",7.0,2.0
C8_2023,All,58.34,5.73,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,58.04,0.17,45.0,45.0,45.0,0.0,44.77,44.77,44.77,0.0,7.85,7.85,7.85,0.0,"2,023.00",8.0,5.0
C8_2024,All,59.12,3.95,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,300.0,kg/ha,59.12,0.25,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,15.19,15.19,0.0,0.0,"2,024.00",5.0,15.0
C8_2024,All,59.12,3.95,fertilisation,topdressing,centrifugal_spreader,Nexur S (38%),200.0,kg/ha,59.12,0.25,76.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,19.24,0.0,0.0,0.0,"2,024.00",7.0,20.0
D1_2022,Leonardo,12.25,1.36,fertilisation,topdressing,airplane_sprayer,Urea 46%,120.0,kg/ha,12.25,0.74,55.2,0.0,0.0,0.0,55.2,0.0,0.0,0.0,40.59,0.0,0.0,0.0,"2,022.00",6.0,14.0
D1_2022,Leonardo,12.25,1.36,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,6.6,0.4,45.0,45.0,45.0,0.0,24.24,24.24,24.24,0.0,33.09,33.09,33.09,0.0,"2,022.00",9.0,5.0
D1_2023,Carnaroli,17.99,4.9,fertilisation,basal_fertilisation,centrifugal_spreader,08-20-30,300.0,kg/ha,17.99,0.2,24.0,60.0,90.0,0.0,24.0,60.0,90.0,0.0,4.9,12.24,18.37,0.0,"2,023.00",5.0,15.0
D1_2023,Carnaroli,17.99,4.9,fertilisation,topdressing,centrifugal_spreader,Urea 46%,50.0,kg/ha,17.99,0.2,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,4.69,0.0,0.0,0.0,"2,023.00",7.0,25.0
D1_2024,All,24.8,5.68,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,300.0,kg/ha,24.8,0.18,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,10.56,10.56,0.0,0.0,"2,024.00",5.0,15.0
D1_2024,All,24.8,5.68,fertilisation,topdressing,centrifugal_spreader,Nexur S (38%),200.0,kg/ha,24.8,0.18,76.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,13.38,0.0,0.0,0.0,"2,024.00",7.0,20.0
D2_2022,Luna CL,18.22,1.23,fertilisation,topdressing,airplane_sprayer,Urea 46%,150.0,kg/ha,18.21,0.81,69.0,0.0,0.0,0.0,68.96,0.0,0.0,0.0,56.1,0.0,0.0,0.0,"2,022.00",6.0,11.0
D2_2022,Luna CL,18.22,1.23,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,500.0,kg/ha,18.21,0.81,75.0,75.0,75.0,0.0,74.96,74.96,74.96,0.0,60.98,60.98,60.98,0.0,"2,022.00",8.0,5.0
D2_2023,Luna CL,18.22,4.84,fertilisation,topdressing,centrifugal_spreader,Urea 46%,80.0,kg/ha,18.22,0.21,36.8,0.0,0.0,0.0,36.8,0.0,0.0,0.0,7.6,0.0,0.0,0.0,"2,023.00",1.0,8.0
D2_2023,Luna CL,18.22,4.84,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,18.22,0.21,45.0,45.0,45.0,0.0,45.0,45.0,45.0,0.0,9.3,9.3,9.3,0.0,"2,023.00",4.0,24.0
D2_2024,PVL136IT,18.22,6.77,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,400.0,kg/ha,18.22,0.15,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,8.86,8.86,8.86,0.0,"2,024.00",5.0,15.0
D2_2024,PVL136IT,18.22,6.77,fertilisation,topdressing,centrifugal_spreader,Urea 46%,100.0,kg/ha,18.22,0.15,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,"2,024.00",7.0,20.0
NT1_2024,Ronaldo,12.7,7.11,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,330.0,kg/ha,30.9,0.34,66.0,66.0,0.0,0.0,160.58,160.58,0.0,0.0,9.28,9.28,0.0,0.0,"2,024.00",5.0,20.0
NT1_2024,Ronaldo,7.0,7.11,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,330.0,kg/ha,7.0,0.14,49.5,49.5,49.5,0.0,49.5,49.5,49.5,0.0,6.96,6.96,6.96,0.0,"2,024.00",5.0,20.0
NT1_2024,Ronaldo,37.9,7.11,fertilisation,topdressing,centrifugal_spreader,Nitroagro 40,230.0,kg/ha,37.9,0.14,92.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,12.94,0.0,0.0,0.0,"2,024.00",7.0,10.0
NT1_2023,Velox,14.92,6.49,fertilisation,topdressing,centrifugal_spreader,18-46-00,120.0,kg/ha,14.92,0.15,21.6,55.2,0.0,0.0,21.6,55.2,0.0,0.0,3.33,8.51,0.0,0.0,"2,023.00",2.0,5.0
NT1_2023,Velox,14.92,6.49,fertilisation,topdressing,centrifugal_spreader,Nitroagro 40,170.0,kg/ha,14.92,0.15,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,10.48,0.0,0.0,0.0,"2,023.00",5.0,2.0
NT2_2022,Luna CL,20.42,4.1,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,380.0,kg/ha,20.42,0.24,57.0,57.0,57.0,0.0,57.0,57.0,57.0,0.0,13.9,13.9,13.9,0.0,"2,022.00",4.0,15.0
NT2_2022,Luna CL,20.42,4.1,fertilisation,topdressing,centrifugal_spreader,Urea 46%,125.0,kg/ha,3.0,0.04,57.5,0.0,0.0,0.0,8.45,0.0,0.0,0.0,14.02,0.0,0.0,0.0,"2,022.00",4.0,15.0
NT2_2023,PVL136IT,20.19,7.31,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,250.0,kg/ha,20.19,0.14,37.5,37.5,37.5,0.0,37.5,37.5,37.5,0.0,5.13,5.13,5.13,0.0,"2,023.00",4.0,19.0
NT2_2023,PVL136IT,20.19,7.31,fertilisation,topdressing,centrifugal_spreader,Urea 46%,200.0,kg/ha,20.19,0.14,92.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,12.59,0.0,0.0,0.0,"2,023.00",6.0,20.0
NT2_2024,PVL136IT,20.19,4.77,fertilisation,basal_fertilisation,centrifugal_spreader,15-15-15,300.0,kg/ha,20.19,0.21,45.0,45.0,45.0,0.0,45.0,45.0,45.0,0.0,9.44,9.44,9.44,0.0,"2,024.00",4.0,19.0
NT2_2024,PVL136IT,20.19,4.77,fertilisation,topdressing,centrifugal_spreader,Urea 46%,100.0,kg/ha,20.19,0.21,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,9.65,0.0,0.0,0.0,"2,024.00",6.0,1.0
