dmu_id,variety,area_ha,productivity,year,month,day,operation_category,operation,equipment,active_substance,product,dose_kg_ha,dose_unit,dose_kg/t,dose_units,stage,Digitaria sanguinalis,Cyperus esculentus,Pyricularia,Wild Rice,Gramineae,Broadleaves,General Weeds,Weevil,Aphids,Rice Worms,Spodoptera frugiperda,Heteranthera,repetitions,covered_area,area_per_tonne
C1_2024,PVL136IT,6.31,5.77,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.0,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.0,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,PVL136IT,6.31,5.77,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.04,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.03,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.03,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,PVL136IT,6.31,5.77,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.03,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.02,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.02,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,PVL136IT,6.31,5.77,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.01,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.0,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",6.0,20.0,crop_protection,herbicide,sprayer,Florpyrauxifen-benzyl,Loyant,0.03,kg/ha,0.0,kg/t,Tillering,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,Leonardo,14.21,1.57,"2,024.00",7.0,2.0,crop_protection,fungicide,sprayer,Trifloxystrobin,Flint,0.25,kg/ha,0.16,kg/t,Start of heading,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.21,0.64
C2_2022,Ronaldo,34.06,5.46,"2,022.00",4.0,5.0,crop_protection,herbicide,sprayer,Glyphosate,Montana,1.08,kg/ha,0.2,kg/t,Pre-sowing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.06,0.18
C2_2022,Gládio,75.37,7.7,"2,022.00",4.0,5.0,crop_protection,herbicide,sprayer,Glyphosate,Montana,1.08,kg/ha,0.14,kg/t,Pre-sowing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.37,0.13
C2_2022,Selénio,1.95,5.93,"2,022.00",4.0,5.0,crop_protection,herbicide,sprayer,Glyphosate,Montana,1.08,kg/ha,0.18,kg/t,Pre-sowing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.95,0.17
C2_2022,Ronaldo,34.06,5.46,"2,022.00",6.0,5.0,crop_protection,herbicide,sprayer,Profoxydim,Aura,0.15,kg/ha,0.03,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.06,0.18
C2_2022,Gládio,75.37,7.7,"2,022.00",6.0,5.0,crop_protection,herbicide,sprayer,Profoxydim,Aura,0.15,kg/ha,0.02,kg/t,2–3 leaves,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,75.37,0.13
