dmu_id,farmer_id,year,variety,area_ha,operation,product,n_form,frac_gasf,n_kg_ha_weight,urea_product_kg_ha,productivity_t_ha,n2o_direct_synthetic_co2eq_ha,n2o_direct_synthetic_co2eq_tonne,n2o_indirect_volatilisation_co2eq_ha,n2o_indirect_volatilisation_co2eq_tonne,n2o_indirect_leaching_co2eq_ha,n2o_indirect_leaching_co2eq_tonne,co2_from_urea_ha,co2_from_urea_tonne
C8_2024,C8,2024,All,59.12,topdressing,Nexur S (38%),unknown,0.11,76.0,0.0,3.95,130.416,33.01670886075949,35.864399999999996,9.07959493670886,86.07455999999999,21.791027848101262,0.0,0.0
D1_2022,D1,2022,Leonardo,12.25,topdressing,Urea 46%,urea,0.15,55.2,120.0,1.36,94.7232,69.64941176470589,35.5212,26.118529411764705,62.517312,45.96861176470588,88.0,64.70588235294117
D1_2022,D1,2022,Leonardo,12.25,basal_fertilisation,15-15-15,unknown,0.11,24.24,0.0,1.36,41.595839999999995,30.58517647058823,11.438856,8.410923529411765,27.4532544,20.18621647058823,0.0,0.0
D1_2023,D1,2023,Carnaroli,17.99,basal_fertilisation,08-20-30,unknown,0.11,24.0,0.0,4.9,41.184,8.404897959183673,11.325600000000001,2.31134693877551,27.18144,5.547232653061224,0.0,0.0
D1_2023,D1,2023,Carnaroli,17.99,topdressing,Urea 46%,urea,0.15,23.0,50.0,4.9,39.468,8.05469387755102,14.800499999999998,3.020510204081632,26.048879999999993,5.316097959183672,36.666666666666664,7.48299319727891
D1_2024,D1,2024,All,24.8,basal_fertilisation,20-20-0,unknown,0.11,60.0,0.0,5.68,102.96,18.12676056338028,28.314,4.984859154929578,67.9536,11.963661971830986,0.0,0.0
D1_2024,D1,2024,All,24.8,topdressing,Nexur S (38%),unknown,0.11,76.0,0.0,5.68,130.416,22.96056338028169,35.864399999999996,6.314154929577464,86.07455999999999,15.153971830985915,0.0,0.0
D2_2022,D2,2022,Luna CL,18.22,topdressing,Urea 46%,urea,0.15,68.96,149.91767288693745,1.23,118.33535999999998,96.20760975609754,44.37575999999999,36.07785365853658,78.10133759999997,63.49702243902436,109.93962678375414,89.38181039329605
D2_2022,D2,2022,Luna CL,18.22,basal_fertilisation,15-15-15,unknown,0.11,74.96,0.0,1.23,128.63136,104.57834146341463,35.373624,28.759043902439025,84.89669759999998,69.02170536585365,0.0,0.0
D2_2023,D2,2023,Luna CL,18.22,topdressing,Urea 46%,urea,0.15,36.8,80.0,4.84,63.148799999999994,13.047272727272727,23.680799999999998,4.892727272727273,41.67820799999999,8.611199999999998,58.666666666666664,12.121212121212121
D2_2023,D2,2023,Luna CL,18.22,basal_fertilisation,15-15-15,unknown,0.11,45.0,0.0,4.84,77.22,15.954545454545455,21.235500000000002,4.3875,50.96519999999999,10.529999999999998,0.0,0.0
D2_2024,D2,2024,PVL136IT,18.22,basal_fertilisation,15-15-15,unknown,0.11,60.0,0.0,6.77,102.96,15.208271787296898,28.314,4.182274741506648,67.9536,10.037459379615953,0.0,0.0
D2_2024,D2,2024,PVL136IT,18.22,topdressing,Urea 46%,urea,0.15,46.0,100.0,6.77,78.936,11.659675036927624,29.600999999999996,4.372378138847858,52.09775999999999,7.695385524372229,73.33333333333333,10.832102412604629
NT1_2024,NT1,2024,Ronaldo,12.7,basal_fertilisation,20-20-0,unknown,0.11,160.58,0.0,7.11,275.5552800000001,38.756016877637144,75.777702,10.65790464135021,181.86648480000002,25.578971139240508,0.0,0.0
NT1_2024,NT1,2024,Ronaldo,7.0,basal_fertilisation,15-15-15,unknown,0.11,49.5,0.0,7.11,84.94200000000001,11.946835443037974,23.35905,3.285379746835443,56.061719999999994,7.884911392405062,0.0,0.0
NT1_2024,NT1,2024,Ronaldo,37.9,topdressing,Nitroagro 40,unknown,0.11,92.0,0.0,7.11,157.872,22.2042194092827,43.4148,6.106160337552742,104.19551999999997,14.654784810126579,0.0,0.0
NT1_2023,NT1,2023,Velox,14.92,topdressing,18-46-00,unknown,0.11,21.6,0.0,6.49,37.065599999999996,5.711186440677966,10.193040000000002,1.5705762711864408,24.463296,3.7693830508474573,0.0,0.0
NT1_2023,NT1,2023,Velox,14.92,topdressing,Nitroagro 40,unknown,0.11,68.0,0.0,6.49,116.688,17.97966101694915,32.0892,4.9444067796610165,77.01407999999999,11.866576271186439,0.0,0.0
NT2_2022,NT2,2022,Luna CL,20.42,basal_fertilisation,15-15-15,unknown,0.11,57.0,0.0,4.1,97.81200000000001,23.856585365853665,26.898300000000003,6.560560975609757,64.55591999999999,15.745346341463412,0.0,0.0
NT2_2022,NT2,2022,Luna CL,20.42,topdressing,Urea 46%,urea,0.15,8.45,18.364348677766895,4.1,14.5002,3.5366341463414637,5.437574999999999,1.3262378048780485,9.570131999999997,2.3341785365853656,13.46718903036239,3.2846802513079
NT2_2023,NT2,2023,PVL136IT,20.19,basal_fertilisation,15-15-15,unknown,0.11,37.5,0.0,7.306,64.35,8.807829181494661,17.69625,2.4221530249110317,42.471,5.813167259786477,0.0,0.0
NT2_2023,NT2,2023,PVL136IT,20.19,topdressing,Urea 46%,urea,0.15,92.0,200.0,7.306,157.872,21.608540925266905,59.20199999999999,8.103202846975087,104.19551999999997,14.261637010676154,146.66666666666666,20.074824345286977
NT2_2024,NT2,2024,PVL136IT,20.19,basal_fertilisation,15-15-15,unknown,0.11,45.0,0.0,4.766,77.22,16.20226605119597,21.235500000000002,4.455623164078893,50.96519999999999,10.693495593789338,0.0,0.0
NT2_2024,NT2,2024,PVL136IT,20.19,topdressing,Urea 46%,urea,0.15,46.0,100.0,4.766,78.936,16.562316407889217,29.600999999999996,6.210868652958455,52.09775999999999,10.931128829206878,73.33333333333333,15.386767380053152
