dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
C5_2022,C5,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C5_2022,C5,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,25.230600000000003
C5_2022,C5,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,77.4495
C5_2022,C5,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,2.573426573426574
C5_2023,C5,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C5_2023,C5,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,145.4058991422122
C5_2023,C5,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C5_2023,C5,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,25.74540365688488
C5_2023,C5,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,109.05442435665913
C5_2023,C5,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,1.934699774266366
C5_2024,C5,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C5_2024,C5,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,120.43745999999999
C5_2024,C5,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C5_2024,C5,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,12.043745999999999
C5_2024,C5,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,90.32809499999999
C5_2024,C5,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
C6_2022,C6,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C6_2022,C6,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,151.86599999999999
C6_2022,C6,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C6_2022,C6,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,68.46839999999999
C6_2022,C6,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,113.89949999999997
C6_2022,C6,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,9.200000000000001
C6_2023,C6,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C6_2023,C6,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,173.1015
C6_2023,C6,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C6_2023,C6,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,110.5533
C6_2023,C6,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,129.826125
C6_2023,C6,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,16.1
C6_2024,C6,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C6_2024,C6,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,164.2212
C6_2024,C6,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C6_2024,C6,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,101.673
C6_2024,C6,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,123.1659
C6_2024,C6,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,14.720000000000002
C7_2023,C7,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C7_2023,C7,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,144.44359898205198
C7_2023,C7,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C7_2023,C7,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,78.67369287436377
C7_2023,C7,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,108.33269923653896
C7_2023,C7,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,11.090275917492635
C7_2024,C7,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C7_2024,C7,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,180.71162443075275
C7_2024,C7,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C7_2024,C7,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,82.04357808732925
C7_2024,C7,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,135.53371832306456
C7_2024,C7,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,11.045914813822668
C8_2022,C8,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C8_2022,C8,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,153.153
C8_2022,C8,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C8_2022,C8,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,95.238
C8_2022,C8,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,114.86474999999999
C8_2022,C8,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,13.8
C8_2023,C8,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C8_2023,C8,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,98.84548261912924
C8_2023,C8,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C8_2023,C8,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,46.99001570106273
C8_2023,C8,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,74.13411196434693
C8_2023,C8,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,6.406883784710319
C8_2024,C8,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C8_2024,C8,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,175.032
C8_2024,C8,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C8_2024,C8,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,17.503199999999996
C8_2024,C8,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,131.274
C8_2024,C8,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
D1_2022,D1,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
D1_2022,D1,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,102.24558367346941
