dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
NT2_2022,NT2,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,27.393219512195127
NT2_2022,NT2,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,16.950731707317072
NT2_2022,NT2,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,7.886798780487806
NT2_2022,NT2,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,18.07952487804878
NT2_2022,NT2,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,3.2846802513079
NT2_2023,NT2,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,568.9281138790035
NT2_2023,NT2,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,30.416370106761565
NT2_2023,NT2,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,9.512455516014233
NT2_2023,NT2,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,10.52535587188612
NT2_2023,NT2,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,20.07480427046263
NT2_2023,NT2,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,20.074824345286977
NT2_2024,NT2,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,872.1336130927401
NT2_2024,NT2,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,32.76458245908519
NT2_2024,NT2,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,14.582039446076372
NT2_2024,NT2,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,10.666491817037349
NT2_2024,NT2,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,21.624624422996217
NT2_2024,NT2,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,15.386767380053152
