equipment,single_score_file,impact_category,impact_unit,factor_per_ha_worked,factor_unit,source_factor_unit,m2_to_ha_multiplier
combine_harvester,combine_harvester_singlescore_16.json,Water use,Pt,12531.2,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Resource use, fossils",Pt,11808458.1,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Resource use, minerals and metals",Pt,1.2384e-05,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Climate change - Fossil,Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Climate change - Biogenic,Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Climate change - Land use and LU change,Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, non-cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Total,Pt,20774237.986285694,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Climate change,Pt,50037.9,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Ozone depletion,Pt,5.209600000000001e-09,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Ionising radiation,Pt,369.25,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Photochemical ozone formation,Pt,0.20757999999999996,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Particulate matter,Pt,9.130600000000001e-11,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, non-cancer",Pt,9.351799999999999e-12,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, cancer",Pt,4.5428e-14,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Acidification,Pt,0.39904,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Eutrophication, freshwater",Pt,0.00014111,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Eutrophication, marine",Pt,0.017262800000000002,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Eutrophication, terrestrial",Pt,1.43226,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Ecotoxicity, freshwater",Pt,133625.82,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Land use,Pt,18753450.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Water use,Pt,3367.76,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Resource use, fossils",Pt,1833385.2000000002,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Resource use, minerals and metals",Pt,1.7759999999999998e-06,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Climate change - Fossil,Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Climate change - Biogenic,Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,Climate change - Land use and LU change,Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, non-cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
seeder,seeder_singlescore_17.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
