dmu_id,farmer_id,year,n_kg_ha,crop_protection_kg_ai_ha,soil_operation_intensity_ha_ha,yield_kg_ha,cluster,PC1,PC2,PC3,PC4,variant
C8_2023,C8,2023,76.8,3.0149000689000003,5.0,5761.137146795313,1,-0.8371545487469909,1.6142443137711766,-0.8902899118110449,-1.186724978401869,winsor_p95
D1_2023,D1,2023,47.0,1.21,5.0,4900.0,2,0.4356152880860226,1.7394399040827508,-1.7094419796045366,0.7987576917092613,winsor_p95
D2_2023,D2,2023,81.8,1.36,5.0,4840.0,2,-0.01473879019789347,0.7218728513306231,-0.9024531666167894,0.4463471564559112,winsor_p95
NT1_2023,NT1,2023,89.6,0.12,0.0,6490.0,2,2.4921691327154893,1.1614797243863162,1.469451326788938,0.9696395325860596,winsor_p95
NT2_2023,NT2,2023,129.5,2.88,1.0,7310.0,2,0.20184429705050363,0.9032411272893186,2.13865636493262,-1.8792934389555964,winsor_p95
C1_2024,C1,2024,129.0,1.3489650626,6.699999999999996,5003.366293122391,3,-0.7457635329846045,-1.2565590808716756,-0.6945848994345462,-0.040301304812008935,winsor_p95
C2_2024,C2,2024,130.51,0.3735487078,5.0,7390.000000000001,3,1.1854424880273233,-1.4696373561135965,-0.12492844240942198,-0.12862482290343172,winsor_p95
C3_2024,C3,2024,114.4,0.4984941637,5.0,6445.882562594671,3,0.8982444805470027,-0.835062487721392,-0.398164836462577,0.26026740304467894,winsor_p95
C4_2024,C4,2024,116.0,0.7220276498,6.0,8272.513615416841,3,1.171752048286179,-1.188279968209052,-0.9753311330150329,-0.6908003286462138,winsor_p95
C5_2024,C5,2024,93.58,1.9881376975,6.0,8199.280474040632,2,0.42961991961171675,0.1348203717464152,-1.3233819093102257,-1.4989457621432578,winsor_p95
C6_2024,C6,2024,127.6,1.4342641092,4.0,7250.000000000001,3,0.6043514313742446,-0.5741721910217567,0.4425112896200219,-0.8434649541314989,winsor_p95
C7_2024,C7,2024,140.41,1.7874966533,6.699999999999996,4224.524765729585,3,-1.4534167029595448,-1.347519883264088,-0.32320836246078505,-0.16754733243101277,winsor_p95
C8_2024,C8,2024,136.0,0.7515764546999999,5.0,3951.613667117727,3,-0.3932612531140761,-1.213695290721129,0.31676314536179057,0.8746506437627481,winsor_p95
D1_2024,D1,2024,136.0,1.3285967742,5.0,5539.032258064516,3,-0.23447243869269632,-1.0478399372325917,0.2598489268937191,-0.20226440016148253,winsor_p95
D2_2024,D2,2024,106.0,1.22,5.0,6770.000000000001,3,0.5685245827357518,-0.24484951869230798,-0.5268982580136757,-0.3755034440110659,winsor_p95
NT1_2024,NT1,2024,144.81599999999997,1.35,0.0,7110.0,2,1.3165490091431225,-0.024051779900794042,2.811778462620381,-0.6542642072125432,winsor_p95
NT2_2024,NT2,2024,91.0,0.88,1.0,4770.0,2,1.0844585677177339,1.3275668063018635,1.2332758567782078,0.9807298240904743,winsor_p95
C1_2022,C1,2022,124.4,0.8693554007,5.0,4434.7081881533095,2,-0.0352699605500137,-0.008169547242055649,0.5540322295925987,-0.7594331350756959,winsor_p99
C2_2022,C2,2022,101.4,1.4846435626,4.0,6984.019572634225,2,-0.5601863697357916,-0.31886822926082414,-0.4215616281113747,0.6098325231977344,winsor_p99
C3_2022,C3,2022,95.2,1.4389907456,5.0,4332.396542692509,2,0.6014670399828662,-0.37075322504008823,-0.163390516983578,-0.3869343124164842,winsor_p99
C4_2022,C4,2022,102.79,2.7279571599,5.0,3619.999999999999,1,1.7022865780905028,0.4512083259929495,-0.3874076413646393,0.3548949977334757,winsor_p99
C5_2022,C5,2022,80.24,0.7027972028,5.0,5987.272727272727,2,-0.3889518352486118,-1.2457485780473987,-0.22588147837209416,-0.33226262704462395,winsor_p99
C6_2022,C6,2022,118.0,1.0314006292,4.0,2150.0,2,0.6917933384506991,0.5312103785064838,-0.02470966602959276,-1.628718012305855,winsor_p99
C8_2022,C8,2022,119.0,3.1059259259000003,4.0,5553.991769547324,1,0.9550268355246714,0.9634394319076349,-0.5550067689697307,1.3424411093127884,winsor_p99
D1_2022,D1,2022,79.44,3.1367682085590003,5.0,1360.0,1,2.9377174786688767,0.45270214656978547,-0.9690607041844381,-0.2410570053783127,winsor_p99
D2_2022,D2,2022,143.92,2.47,5.0,1230.0,1,2.070658914220113,1.5601385181011307,0.44580855520301993,-0.7390847814146817,winsor_p99
NT2_2022,NT2,2022,65.45,1.05,2.0,4069.999999999999,2,-0.05605238349261004,-0.299889983106301,-1.791304476272433,-1.101379507947369,winsor_p99
C1_2023,C1,2023,129.0,1.0421533728,5.0,4323.4805537244565,2,0.09310037784237579,0.1808014122119192,0.5921301224293755,-0.6618834550989938,winsor_p99
C2_2023,C2,2023,78.37,0.5864959639,5.0,8707.223331308047,2,-1.4055478171506977,-1.725198620911325,-0.2025702226570834,0.6443936753810832,winsor_p99
C3_2023,C3,2023,109.8,0.4528842556,5.0,5701.25813062461,2,-0.6683996504671327,-0.6815302687891277,0.4049061525658291,-0.605848922892361,winsor_p99
C4_2023,C4,2023,146.48,0.3889261745,5.0,4503.959731543624,2,-0.5488042931965638,0.24565654589916733,1.1103907514368279,-1.0833511334489632,winsor_p99
C5_2023,C5,2023,112.97,1.248510158,5.0,6136.952595936795,2,-0.28353550010822287,-0.33178511449431897,0.2462218813532968,0.19471974105101658,winsor_p99
C6_2023,C6,2023,134.5,2.2741707694,4.0,2880.0,1,1.196150477481458,1.3171383818540339,-0.05198546402759957,-0.344948220017324,winsor_p99
C7_2023,C7,2023,112.23,2.56,5.0,6650.458076613983,2,0.46329459000359463,0.14657912797955416,-0.13102755952635567,1.4266742656151616,winsor_p99
C8_2023,C8,2023,76.8,3.0149000689000003,5.0,5761.137146795313,1,1.3366664815927516,-0.28614695326691336,-0.942601285222772,1.3918503655903611,winsor_p99
D1_2023,D1,2023,47.0,1.21,5.0,4900.0,2,0.5750286482070006,-1.580731243101787,-1.0123094142382465,-0.4012516594998022,winsor_p99
D2_2023,D2,2023,81.8,1.36,5.0,4840.0,2,0.4614570770261876,-0.7638214709315868,-0.3917107428785127,-0.26531442440169717,winsor_p99
