dmu_id,farmer_id,year,area_ha,production_t,operation_rows_n,centrifugal_spreader_ha_worked_total,centrifugal_spreader_ha_worked_per_ha,centrifugal_spreader_ha_worked_per_tonne,combine_harvester_ha_worked_total,combine_harvester_ha_worked_per_ha,combine_harvester_ha_worked_per_tonne,disk_harrow_ha_worked_total,disk_harrow_ha_worked_per_ha,disk_harrow_ha_worked_per_tonne,laser_leveler_ha_worked_total,laser_leveler_ha_worked_per_ha,laser_leveler_ha_worked_per_tonne,rotary_tiller_ha_worked_total,rotary_tiller_ha_worked_per_ha,rotary_tiller_ha_worked_per_tonne,seeder_ha_worked_total,seeder_ha_worked_per_ha,seeder_ha_worked_per_tonne,sprayer_ha_worked_total,sprayer_ha_worked_per_ha,sprayer_ha_worked_per_tonne
D1_2023,D1,2023,17.99,88.151,15,53.97,3.0,0.612244898,17.99,1.0,0.2040816327,53.97,3.0,0.612244898,17.99,1.0,0.2040816327,17.99,1.0,0.2040816327,0.0,0.0,0.0,143.92,8.0,1.6326530612
D1_2024,D1,2024,24.8,137.368,20,74.4,3.0,0.5416108555,24.8,1.0,0.1805369518,74.4,3.0,0.5416108555,24.8,1.0,0.1805369518,24.8,1.0,0.1805369518,0.0,0.0,0.0,100.64,4.0580645161,0.7326305981
D2_2022,D2,2022,18.21,22.3983,15,36.42,2.0,1.6260162602,18.21,1.0,0.8130081301,54.63,3.0,2.4390243902,18.21,1.0,0.8130081301,18.21,1.0,0.8130081301,18.21,1.0,0.8130081301,145.68,8.0,6.5040650407
D2_2023,D2,2023,18.22,88.1848,17,54.66,3.0,0.6198347107,18.22,1.0,0.2066115702,54.66,3.0,0.6198347107,18.22,1.0,0.2066115702,18.22,1.0,0.2066115702,0.0,0.0,0.0,182.2,10.0,2.0661157025
D2_2024,D2,2024,18.22,123.3494,16,54.66,3.0,0.4431314623,18.22,1.0,0.1477104874,54.66,3.0,0.4431314623,18.22,1.0,0.1477104874,18.22,1.0,0.1477104874,0.0,0.0,0.0,163.98,9.0,1.329394387
NT1_2023,NT1,2023,14.92,96.8308,7,29.84,2.0,0.3081664099,14.92,1.0,0.1540832049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92,1.0,0.1540832049,44.76,3.0,0.4622496148
NT1_2024,NT1,2024,37.9,269.469,10,75.8,2.0,0.2812939522,37.9,1.0,0.1406469761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,1.0,0.1406469761,189.5,5.0,0.7032348805
NT2_2022,NT2,2022,20.42,83.1094,11,43.84,2.1469147894,0.5274974913,0.0,0.0,0.0,0.0,0.0,0.0,20.42,1.0,0.2457002457,20.42,1.0,0.2457002457,0.0,0.0,0.0,122.52,6.0,1.4742014742
NT2_2023,NT2,2023,20.19,147.5889,14,40.38,2.0,0.2735978112,20.19,1.0,0.1367989056,0.0,0.0,0.0,0.0,0.0,0.0,20.19,1.0,0.1367989056,20.19,1.0,0.1367989056,181.71,9.0,1.2311901505
NT2_2024,NT2,2024,20.19,96.3063,11,40.38,2.0,0.4192872117,20.19,1.0,0.2096436059,0.0,0.0,0.0,0.0,0.0,0.0,20.19,1.0,0.2096436059,20.19,1.0,0.2096436059,121.14,6.0,1.2578616352
